AWS S3	Data Mgt	file object store	2.0	15	ADOPT	2	2	2	2	2	2	2	2	2		2	2	2	2	2	2
AWS SNS	Data Mgt	messaging service	1.5	12	ADOPT	1	1	1	1	1	2	2				2		1	2	2	2
AWS SQS	Data Mgt	message queues	1.6	11	ADOPT	1	1	1	1	2	2	2				2		2	2	2	
Cassandra	Data Mgt	NoSql DB	0.8	5	TRIAL	0			1.2	0.5				1.5				1			
ElasticSearch	Data Mgt	NoSql Search DB	1.6	13	ADOPT	1.5	1.5	1.3	1.6	1	2		1	2		1.5		2	1	2	2
Kafka	Data Mgt	message queues	1.1	5	TRIAL	1			2	0				1.5				1			
Nakadi	Data Mgt	event bus		1	ADOPT									1							
PostgreSQL	Data Mgt	RDBMS	1.8	12	ADOPT	2	1.5	1.8	1.8	2	2		2	2	2		2	1	2		
Redis	Data Mgt	NoSql DB/caching	1.9	12	ADOPT	2	2	2	2	2	2		2	1		2		2		2	2
Solr	Data Mgt	NoSql Search DB	0.2	9	TRIAL	-1.5		2	2	1	-1			-2		-2		1	2		
Spark	Data Mgt	event processing	1.2	5	TRIAL	1			2	1				1				1			
AWS Kinesis	Data Mgt	event processing	1.1	4	TRIAL	1		1		1.2	1										
Google BigTable	Data Mgt	NoSql DB		3	ADOPT	1.5				0					2						
Hadoop/MR	Data Mgt	data processing frw		2	ADOPT				1.7			1									
Hadoop/YARN	Data Mgt	cluster resource manager		2	ADOPT				1.8			1									
ActiveMQ	Data Mgt	message queues	0.8	5	TRIAL	-1		1.2	1.4			1.4								1	
CouchBase	Data Mgt	NoSql DB	-1.5	4	HOLD	-2					-1			-2			-1				
Graphite	Data Mgt	TS DB		1	ADOPT									-2							
Hadoop/HBase	Data Mgt	NoSql DB		3	ADOPT			1.3	1.5			1									
HornetQueue	Data Mgt	message queues		1	ADOPT						1										
InfluxDB	Data Mgt	TS DB	1.2	6	TRIAL	1				1	1			1	2						1
MemCached	Data Mgt	caching	0.6	11	TRIAL	0	1	1.4	1.7				2	-2		0	1	0		2	0
MongoDB	Data Mgt	NoSql DB	0.6	11	TRIAL	-1	1	1.5	1.4	2	-1		1.4	-1			0.5	1			1
MySQL	Data Mgt	RDBMS	0.8	14	TRIAL	-1	1.5	1.7	2	-1		1.8	1.5	-1		1	1	1	1	2	0
Neo4j	Data Mgt	Graph DB		3	ADOPT					0				1				1			
Oracle DB	Data Mgt	RDBMS	0.4	5	TRIAL	-1			1.2	2		1.8		-2							
RabbitMQ	Data Mgt	message queues	1.4	10	TRIAL	0	1.5		1.5	2	1.5	1.4	2					2	0.5		2
Riak	Data Mgt	NoSql DB		2	ADOPT						-1			-2							
AWS DynamoDB	Data Mgt	NoSql DB	0.9	7	TRIAL		1	1	1	0.5	1					1		1			
Flink	Data Mgt	event processing		1	ADOPT				2												
Google BigQuery	Data Mgt	NoSql DB		2	ADOPT					2					1						
Hadoop/HDFS	Data Mgt	distributed storage	1.1	4	TRIAL			1.2	2	0		1									
AWS AURORA	Data Mgt	database		2	ADOPT												1			1	
AWS DMS	Data Mgt	database migration service		3	ADOPT			1									2		1		
Go	Languages	impl. language	1.2	7	TRIAL	1			1	2					1	1		1	1.5		
Java	Languages	impl. language	1.0	12	TRIAL	1		1	2	2	2		1.5	-1		2		1	-1	2	0
Javascript	Languages	impl. language	1.9	14	ADOPT	2	2	2	2	2	2		2	2	2	2	2	1		2	2
Python	Languages	impl. language	1.7	12	ADOPT	1.5	1.5	1.7	2	2			2	2	2	1	1.5	2	1		
Scala	Languages	impl. language	1.5	5	ADOPT	1.5			1	2	1			2							
Swift	Languages	impl. language	1.8	8	ADOPT	1.5	2	2	2	2	1			2							2
Elm	Languages			1	ADOPT				0.7												
Kotlin	Languages	language on the JVM		2	ADOPT					2						0					
R	Languages	impl. language	0.8	4	TRIAL				1.7	0.5			1	0							
