PostgreSQL	Data Mgt	RDBMS	1.9	10	ADOPT		2	1	2	2	2	2	2	2	2	2
MySQL	Data Mgt	RDBMS	1.8	9	ADOPT		2	1.5	2	2	1.7		2	2	2	1
AWS AURORA	Data Mgt	database	2.0	9	ADOPT		2	2	2	2	2	2	2	2		2
MSSQL	Data Mgt	RDBMS	0.0	4	TRIAL			2	0		0					-2
Elasticsearch	Data Mgt	NoSql Search DB	0.1	10	TRIAL		-1.5	-1	1	2	-2	2	0	1	-2	1
Solr	Data Mgt	NoSql Search DB	-0.4	7	ASSESS		-2	2	2		-1	-2		-2		0
Google BigQuery	Data Mgt	NoSql DB	2.0	8	ADOPT		2		2	2	2	2	2	2		2
AWS DynamoDB	Data Mgt	NoSql DB	1.7	9	ADOPT		2	1	2	2	2	2	2	2		0
Cassandra	Data Mgt	NoSql DB	-1.4	5	HOLD				-2		-2	-2	-1			0
Aerospike	Data Mgt	NoSql DB	-2.0	4	HOLD		-2				-2	-2		-2		
Hadoop/HBase	Data Mgt	NoSql DB	-0.9	6	ASSESS		-1.6	1	-1		-2	-2				0
MongoDB	Data Mgt	NoSql DB	-0.8	9	ASSESS		-2	1	-1	0	-2	-2	-1	-2		2
Redis	Data Mgt	NoSql DB/caching	1.8	10	ADOPT		2	1.5	1	2	2	2	2	1.5	2	2
MemCached	Data Mgt	caching	-0.4	10	ASSESS		0	1	1	2	-1	-2	-1	-2	0	-2
AWS Redshift	Data Mgt	Columnar realtional DB for analytics/DWH	-0.5	4	ASSESS		-1			0			-1			0
AWS Athena	Data Mgt	Query data files in S3 using SQL		2									0			2
AWS SNS	Data Mgt	messaging service	1.9	8	ADOPT			1	2	2	2		2	2	2	2
AWS SQS	Data Mgt	message queues	1.9	8	ADOPT			1	2	2	2		2	2	2	2
Kafka	Data Mgt	message queues	-0.9	7	ASSESS			1	0		-2	-2	-1	-2		0
Spark	Data Mgt	event processing	0.6	5	TRIAL			1	0		0		2			0
AWS Kinesis	Data Mgt	event processing	1.0	7	TRIAL		1	1	1		2		1	1		0
RabbitMQ	Data Mgt	message queues	-1.3	7	HOLD				1		-2	-2	-2	-2	-1	-1
ActiveMQ	Data Mgt	message queues	-2.0	5	HOLD				-2		-2		-2	-2		-2
Neo4j	Data Mgt	Graph DB	-1.5	4	HOLD				-1		-1	-2				-2
