PostgreSQL 	Data Mgt	RDBMS	1.9	1.9	9	ADOPT	2	1.5	2	2	2	2	2	2	1.5
MySQL	Data Mgt	RDBMS	0.9	1.8	9	ADOPT	2	1	2	1	1	1	1.5	1	-2
AWS AURORA	Data Mgt	database	1.4	2.0	9	TRIAL	2	1	2	2	2	1	1.5	1.5	0
MSSQL	Data Mgt	RDBMS	-1.1	0.1	7	ADOPT	-2	2		0	-2		-2	-2	-2
Elasticsearch	Data Mgt	NoSql Search DB	0.4	0.0	9	TRIAL	0.5	0	2	-1	1	0	2	-1.5	0.5
Solr	Data Mgt	NoSql Search DB	-0.4	-0.4	5	ASSESS	2	2					-2	-2	-2
Google BigQuery	Data Mgt	NoSql DB	2.0	2.0	9	ADOPT	2	2	2	2	2	2	2	2	2
Snowflake	Data Mgt	NoSql DB			2			0					0		
AWS DynamoDB	Data Mgt	NoSql DB	1.6	1.6	9	ADOPT	2	0	2	2	2	2	2	2	0.5
Cassandra	Data Mgt	NoSql DB	-0.6	-1.4	8	ASSESS	-2	0	-1		-1	-1	1.5	-2	0.5
Aerospike	Data Mgt	NoSql DB		-2.0	3			0					-1	-2	
MongoDB	Data Mgt	NoSql DB	-0.6	-0.8	9	ASSESS	-1	0	-1	-1	-1	-1	0	-2	2
Redis	Data Mgt	NoSql DB/caching	2.0	1.8	9	ADOPT	2	2	2	2	2	2	2	2	2
MemCached	Data Mgt	caching	1.8	-0.4	8	ADOPT	2	2	2	2		2	0	2	2
AWS Redshift	Data Mgt	Columnar realtional DB for analytics/DWH	0.3	-0.5	8	HOLD	1	0	1	2		0	0	-1.5	0
AWS Athena	Data Mgt	Query data files in S3 using SQL	0.5		5	TRIAL	1	0	1				0		0.5
AWS SNS	Data Mgt	messaging service	1.6	1.9	9	ADOPT	2	2	2	2	2	2	1.5	2	-1
AWS SQS	Data Mgt	message queues	1.7	1.9	9	ADOPT	2	2	2	2	2	2	1.5	2	0
Kafka	Data Mgt	message queues	0.6	-0.8	9	TRIAL	1	0	0	1	1	0	1.5	0	0.5
Spark	Data Mgt	event processing	0.4	0.6	5	TRIAL	1	0	0			1	0		
AWS Step Functions	Data Mgt	Workflow Orchestration			3			0	1				0		
AWS Kinesis	Data Mgt	event processing	0.7	1.0	6	TRIAL		0	1		1	0	0	2	
Google PubSub	Data Mgt	message queues	1.3		7	TRIAL	2	0	2	2			0	2	1
RabbitMQ	Data Mgt	message queues	-0.1	-1.3	6	HOLD	0.5	0	-1				0	-2	2
Neo4j	Data Mgt	Graph DB	-0.5	-1.5	4	ASSESS		0	0				0	-2	
Hadoop/HDFS	Data Mgt	distributed storage	-0.6		5	HOLD	0	0	-1				0	-2	
Go	Languages	impl. language	1.5	1.8	7	ADOPT	1	0	2	2			1.5	2	2
Python	Languages	impl. language	1.9	1.9	9	ADOPT	2	2	2	2	2	2	2	1.5	2
Javascript	Languages	impl. language	1.8	1.8	8	ADOPT	2	2	2		2	2	1.5	2	1
Typescript	Languages	impl. language	1.5	1.0	7	ADOPT	2	1	1		2	1	1.5		2
Java	Languages	impl. language	1.3	1.9	9	ADOPT	2	1	2	1	2	2	1.5	2	-2
Scala	Languages	impl. language	-0.4	-1.4	6	ASSESS		0	-1			1	-1	-2	0.5
Swift	Languages	impl. language	1.8	2.0	9	ADOPT	2	2	2	2	2	0	2	2	2
Flutter	Languages	impl. language	1.1		9	TRIAL	0.5	0	0.5	2	2	1	1.5	1	1
React-Native	Languages	impl. language	-0.7		6	HOLD		1	0			-1	0	-2	-2
Kotlin	Languages	language on the JVM	2.0	1.8	9	ADOPT	2	2	2	2	2	2	2	2	2
.NET Core	Languages	.NET software appl platform including .NET based programming languages like C#, F#	0.2	-0.2	7	ADOPT	-1	2		0	2		0	-2	0.5
R	Languages	impl. language	-0.8	-0.1	5	ASSESS		1	-1				0	-2	-2
Grails	Languages	impl. language	-1.5	-1.8	4	HOLD		0	-2				-2	-2	
PHP	Languages		-1.9	-1.6	7	HOLD	-1.5	-2	-2			-2	-2	-2	-2
Rails	Languages	Ruby framework	-1.3	0.7	6	HOLD		0	-2	-1		-1	-2	-2	
Docker	Platforms & Infrastructure	Container/Deployment	1.9	2.0	9	ADOPT	2	2	2	2	2	2	1.5	2	2
Kubernetes	Platforms & Infrastructure	cluster resource manager	2.0	2.0	9	ADOPT	2	2	2	2	2	2	2	2	2
Helm	Platforms & Infrastructure	Kubernetes App config	1.4	2.0	8	ADOPT		0	1	2	2	2	1.5	2	0.5
EKS	Platforms & Infrastructure	managed Kubernetes	1.8	1.4	9	ADOPT	2	1	2	2	2	2	1.5	2	2
istio	Platforms & Infrastructure	service mesh	0.8	-0.2	7	TRIAL		0	0	1	1		1.5	1.5	0.5
AWS Lambda	Platforms & Infrastructure	computing service	1.8	1.7	9	ADOPT	2	2	2	2	2	1	1	2	2
Cloudflare Workers	Platforms & Infrastructure	Similar to lambda, but in Cloudflare	1.9	1.3	6	ADOPT		2		2	2		2	1.5	2
